label,needle,depth,expected,found,finish_reason,answer
"UD-Q8_K_XL","ATLAS",0.03,"ATLAS-?7734",True,"stop","ATLAS-7734"
"UD-Q8_K_XL","ATLAS2",0.07,"ATLAS-?7743",True,"stop","ATLAS-7743"
"UD-Q8_K_XL","ATLAS3",0.11,"ATLAS-?3477",True,"stop","ATLAS-3477"
"UD-Q8_K_XL","OKAPI",0.15,"1[,.]?850",True,"stop","1,850"
"UD-Q8_K_XL","OKAPI2",0.19,"1[,.]?580",True,"stop","1,580"
"UD-Q8_K_XL","OKAPI3",0.23,"8[,.]?150",True,"stop","8,150"
"UD-Q8_K_XL","FENWICK",0.27,"1974",True,"stop","1974"
"UD-Q8_K_XL","FENWICK2",0.31,"1947",True,"stop","1947"
"UD-Q8_K_XL","FENWICK3",0.35,"1794",True,"stop","1794"
"UD-Q8_K_XL","MARLOW",0.4,"\b63\b",True,"stop","63 tonnes"
"UD-Q8_K_XL","MARLOW2",0.45,"\b36\b",True,"stop","36 tonnes"
"UD-Q8_K_XL","MARLOW3",0.5,"\b630\b",True,"stop","630 tonnes"
"UD-Q8_K_XL","QUILL",0.55,"Harbou?r (Four|4)",True,"stop","Harbour Four"
"UD-Q8_K_XL","QUILL2",0.6,"Harbou?r (Two|2)",True,"stop","Harbour Two"
"UD-Q8_K_XL","BRAMBLE",0.64,"\b412\b",True,"stop","412"
"UD-Q8_K_XL","BRAMBLE2",0.68,"\b214\b",True,"stop","214"
"UD-Q8_K_XL","VERDIGRIS",0.72,"verdigris",True,"stop","verdigris"
"UD-Q8_K_XL","CINDER",0.76,"\b(two|2)\b",True,"stop","2"
"UD-Q8_K_XL","PELICAN",0.8,"Pelican",True,"stop","Pelican valve"
"UD-Q8_K_XL","SANDPIPER",0.84,"flood|2011",True,"stop","the flood of 2011"
"UD-Q8_K_XL","LANTERN",0.88,"\b97\b",True,"stop","97"
"UD-Q8_K_XL","ORCHARD",0.92,"04:?20|4:20",True,"stop","04:20"
"UD-Q8_K_XL","TRESTLE",0.95,"\b19\b",True,"stop","19 weeks"
"UD-Q8_K_XL","HOLLOW",0.98,"3\.4",True,"stop","3.4"
